element,id,geometry,name,name:en,public_transport,operator
node,7750247047,POINT (139.6128054 35.5192766),北新横浜,Kita-shin-yokohama,station,横浜市交通局
node,7750338822,POINT (139.6238581 35.4584508),高島町,Takashimacho,station,横浜市交通局
node,7750338823,POINT (139.630787 35.4496272),桜木町,Sakuragicho,station,横浜市交通局
node,7750338824,POINT (139.6367037 35.44533),関内,Kannai,station,横浜市交通局
node,7750338825,POINT (139.6327993 35.4410015),伊勢佐木長者町,Isezaki-chojamachi,station,横浜市交通局
node,7750338826,POINT (139.6251489 35.4376268),阪東橋,Bandobashi,station,横浜市交通局
node,7750342739,POINT (139.6168238 35.4961511),岸根公園,Kishine-koen,station,横浜市交通局
node,7750342740,POINT (139.6056459 35.4764152),三ツ沢上町,Mitsuzawa-kamicho,station,横浜市交通局
node,7750342741,POINT (139.6064834 35.4900761),片倉町,Katakuracho,station,横浜市交通局
node,7750342742,POINT (139.6160911 35.4765085),三ツ沢下町,Mitsuzawa-shimocho,station,横浜市交通局
node,7750342743,POINT (139.6201667 35.4653773),横浜,Yokohama,station,横浜市交通局
node,7750348391,POINT (139.618715 35.4354327),吉野町,Yoshinocho,station,横浜市交通局
node,7771245984,POINT (139.5401893 35.5148049),中山,Nakayama,station,横浜市交通局
node,7772733582,POINT (139.5491324 35.5284609),川和町,Kawawacho,station,横浜市交通局
node,7772737929,POINT (139.5612641 35.5365578),都筑ふれあいの丘,Tsuzuki-fureainooka,station,横浜市交通局
node,7772745205,POINT (139.6464819 35.5534441),日吉,Hiyoshi,station,横浜市交通局
node,7772745206,POINT (139.6336227 35.5500655),日吉本町,Hiyoshi-honcho,station,横浜市交通局
node,7772745207,POINT (139.6200521 35.5496776),高田,Takata,station,横浜市交通局
node,7772745208,POINT (139.6046897 35.554173),東山田,Higashi-yamata,station,横浜市交通局
node,7772745209,POINT (139.5921504 35.5610885),北山田,Kita-yamata,station,横浜市交通局
node,7804259443,POINT (139.6202973 35.4642692),横浜,Yokohama,station,相模鉄道
node,7834937707,POINT (139.6729989 35.5004391),花月総持寺,Kagetsu-Sojiji,station,京浜急行電鉄
node,7834937709,POINT (139.6780206 35.5072931),京急鶴見,Keikyu Tsurumi,station,京浜急行電鉄
node,7834937710,POINT (139.6866962 35.5178357),鶴見市場,Tsurumi-ichiba,station,京浜急行電鉄
node,7856115775,POINT (139.6509129 35.4421165),元町・中華街,Motomachi-chukagai,station,横浜高速鉄道
node,7856115776,POINT (139.6426718 35.4467354),日本大通り,Nihon-odori,station,横浜高速鉄道
node,7856115777,POINT (139.6362973 35.4501475),馬車道,Bashamichi,station,横浜高速鉄道
node,7856115778,POINT (139.6328453 35.4572327),みなとみらい,Minatomirai,station,横浜高速鉄道
node,7856115779,POINT (139.6266407 35.4619389),新高島,Shin-Takashima,station,横浜高速鉄道
node,7856860987,POINT (139.6297275 35.367138),京急富岡,Keikyu Tomioka,station,京浜急行電鉄 (Keikyu Corporation)
node,7856860988,POINT (139.6158364 35.383564),杉田,Sugita,station,京浜急行電鉄 (Keikyu Corporation)
node,7856860990,POINT (139.6103847 35.3942114),屏風浦,Byobugaura,station,京浜急行電鉄 (Keikyu Corporation)
node,7856860992,POINT (139.5966277 35.4090607),上大岡,Kamiooka,station,京浜急行電鉄
node,7856860996,POINT (139.5967939 35.4243499),弘明寺,Gumyoji,station,京浜急行電鉄
node,7856860997,POINT (139.6005383 35.4339314),井土ヶ谷,Idogaya,station,京浜急行電鉄
node,7856860998,POINT (139.6131635 35.4368194),南太田,Minamiota,station,京浜急行電鉄
node,7856861001,POINT (139.623152 35.4399236),黄金町,Koganecho,station,京浜急行電鉄
node,7856861002,POINT (139.6267113 35.4455466),日ノ出町,Hinodecho,station,京浜急行電鉄
node,7856861003,POINT (139.6195351 35.4567461),戸部,Tobe,station,京浜急行電鉄
node,7856861004,POINT (139.6345454 35.477267),京急東神奈川,Keikyu Higashi-Kanagawa,station,京浜急行電鉄
node,7857902092,POINT (139.6294203 35.3608505),能見台,Nokendai,station,京浜急行電鉄 (Keikyu Corporation)
node,7967959831,POINT (139.6220811 35.466292),横浜,Yokohama,station,
node,8026383420,POINT (139.6957044 35.4974338),浅野,Asano,station,東日本旅客鉄道
node,8026383421,POINT (139.7008868 35.4996481),安善,Anzen,station,東日本旅客鉄道
node,8026421430,POINT (139.700285 35.485904),海芝浦,Umi-Shibaura,station,東日本旅客鉄道
node,8026421469,POINT (139.680911 35.4972947),鶴見小野,Tsurumiono,station,東日本旅客鉄道
node,8026429248,POINT (139.7000251 35.4919545),新芝浦,Shin-Shibaura,station,東日本旅客鉄道
node,8026433198,POINT (139.6893894 35.4957391),弁天橋,Bentembashi,station,東日本旅客鉄道
node,8026435189,POINT (139.675399 35.5009768),国道,Kokudo,station,東日本旅客鉄道
node,8317640068,POINT (139.4864894 35.558128),こどもの国,Kodomonokuni,station,東急電鉄
node,10108140342,POINT (139.6361012 35.5358452),新綱島,Shin-Tsunashima,station,
node,10312940095,POINT (139.5895987 35.4834108),横浜羽沢（貨）,,station,
node,11329681981,POINT (139.6174221 35.5072282),新横浜,Shin-Yokohama,station,
node,12209234608,POINT (139.4938262 35.532086),長津田,Nagatsuta,station,横浜高速鉄道
node,12209234609,POINT (139.4939318 35.5319095),長津田,Nagatsuta,station,東京急行電鉄
